mass,z
11.49156,0.159451
10.769569,0.078584
10.80703,0.077704
11.3858,0.098099
10.549449,0.070412
10.645381,0.098162
10.778009,0.029083
10.80231,0.049898
10.824321,0.049382
11.35097,0.181386
11.24202,0.107723
11.420549,0.181278
11.006579,0.135799
11.464049,0.140697
10.91074,0.082657
10.994809,0.08922
11.280569,0.140258
11.23875,0.103272
11.33813,0.180817
11.59213,0.174759
10.716729,0.096444
11.334499,0.139484
11.05007,0.145946
10.714069,0.098373
11.16259,0.139787
11.406689,0.179098
10.9629,0.08338
11.165951,0.096046
10.90317,0.096769
11.166881,0.126665
11.12701,0.066481
11.05007,0.117212
11.11549,0.136865
10.663651,0.066917
11.411469,0.166491
11.70123,0.169842
11.31173,0.174945
10.55011,0.074869
10.502789,0.093427
11.39029,0.169116
10.823201,0.086979
11.41374,0.167489
11.33713,0.136307
11.148821,0.131118
10.58602,0.029714
11.41152,0.131163
11.079649,0.068128
11.01636,0.1092
11.075449,0.110027
10.76282,0.042746
11.50088,0.143078
10.603141,0.080555
11.156,0.143674
10.66269,0.028743
10.90772,0.063416
11.45914,0.123971
11.01265,0.143337
10.674489,0.080941
11.09244,0.112098
10.726429,0.088199
10.737029,0.07867
11.342589,0.058554
10.933109,0.085084
10.823441,0.030131
11.480009,0.170216
11.3548,0.152753
10.934109,0.076174
10.78336,0.047106
11.156509,0.029528
10.64682,0.078019
11.220981,0.133087
11.079649,0.132954
11.00902,0.139557
11.01381,0.134544
10.50666,0.07051
11.17772,0.144947
11.244679,0.136082
10.5537,0.095448
10.825211,0.076561
11.14479,0.076517
10.94868,0.071579
11.070479,0.129131
11.236508,0.093085
11.51424,0.130513
11.14513,0.075507
10.73398,0.093208
10.5547,0.048407
11.18913,0.075667
11.165261,0.134649
10.7057,0.095464
11.04698,0.129489
11.40722,0.128468
11.14491,0.124511
10.505321,0.046535
11.42433,0.130577
11.16765,0.1314
11.41801,0.146868
11.247589,0.133241
11.46521,0.134422
11.57381,0.133822
11.11633,0.129806
11.33715,0.179523
11.01228,0.133116
11.1995,0.116954
10.7073,0.02859
11.259439,0.178381
10.628761,0.025652
10.908509,0.082167
10.87852,0.071833
10.66903,0.079219
10.67369,0.082098
11.19486,0.129924
11.30985,0.17656
11.34023,0.185446
11.43374,0.077497
11.027381,0.138542
11.03494,0.078796
10.754609,0.079805
11.35602,0.137535
11.21562,0.111276
11.4016,0.177686
11.353951,0.080042
10.543449,0.029051
11.049789,0.078592
10.88425,0.080476
11.577629,0.152651
11.64279,0.156359
11.01634,0.114535
11.45088,0.154579
11.13296,0.119514
11.18283,0.131665
10.88495,0.082128
10.80578,0.099869
11.439939,0.17496
11.18011,0.116145
10.926609,0.099297
11.31256,0.11749
11.00877,0.132577
11.059569,0.143185
10.845921,0.050382
10.601801,0.084527
11.223941,0.118641
11.506579,0.144323
11.37382,0.176934
11.35585,0.138884
11.10458,0.134205
11.45927,0.18611
10.55858,0.092158
11.04593,0.139354
10.7667,0.079952
11.3387,0.16909
11.0995,0.145719
11.43329,0.146422
10.95782,0.059524
10.70199,0.076062
11.301391,0.131274
11.00018,0.145795
11.393001,0.144509
11.140921,0.130358
11.16963,0.066012
11.362061,0.153351
11.08966,0.11265
11.386449,0.165817
11.51361,0.163739
11.09298,0.103186
10.75216,0.07722
11.17954,0.068289
11.00486,0.102037
10.57212,0.051371
10.91916,0.050607
11.31743,0.06559
11.318901,0.147872
10.5992,0.067305
11.01656,0.100866
10.534529,0.066651
11.173901,0.100423
10.784409,0.067153
11.28123,0.177265
10.779669,0.098785
10.98113,0.066514
11.10795,0.098551
10.9793,0.098678
10.855321,0.048311
11.05574,0.120783
11.228821,0.124371
10.97366,0.066618
11.34702,0.104188
11.216669,0.08749
10.85807,0.065227
11.47798,0.083322
